,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p,32_n,32_p,33_n,33_p,34_n,34_p,35_n,35_p,36_n,36_p,37_n,37_p,38_n,38_p,39_n,39_p,40_n,40_p,41_n,41_p,42_n,42_p,43_n,43_p,44_n,44_p,45_n,45_p,46_n,46_p,47_n,47_p,48_n,48_p,49_n,49_p,50_n,50_p,51_n,51_p,52_n,52_p,53_n,53_p,54_n,54_p,55_n,55_p,56_n,56_p,57_n,57_p,58_n,58_p,59_n,59_p,60_n,60_p,61_n,61_p,62_n,62_p,63_n,63_p,64_n,64_p,65_n,65_p,66_n,66_p,67_n,67_p,68_n,68_p
107,TJP1,0.0,DOK2,0.0,GABARAPL1,0.0,TBC1D10C,0.0,TIPARP,0.0,HPN,0.0,SERPINB5,0.0,LIMS1,0.0,RPL12,0.0,ARHGAP10,0.0,HIGD1B,0.0,AQP1,0.0,HCAR2,4.5088902328917635e-07,CD37,1.1513278212493794e-109,LAPTM5,3.610184154358952e-123,MSRA,1.8830328802636224e-196,SYNE1,0.0,CLEC7A,6.922284361168328e-234,RBM39,1.4185291419719321e-89,CYTOR,2.0766992781142084e-141,XBP1,9.368387338702654e-122,CFL1,1.9942217516616282e-107,TCF25,4.206425900298116e-06,XBP1,1.872949103709383e-128,COX4I2,0.39577492195082575,RPS10,5.450464752921005e-101,RPS20,2.7110742504184976e-14,RPS2,1.4589517292400395e-10,APOLD1,3.304019384736462e-10,LMNA,2.5879256260845015e-114,GRB10,9.002528137713473e-09,TMED2,1.3685176940981766e-32,RPL23,1.5232370131658645e-13,ASAH1,2.2317040865191262e-33,COL9A3,8.881251210789739e-32,HDAC9,2.5596865211184726e-17,ABHD11,3.708807672560334e-69,ALOX5AP,1.8429564743720734e-24,ERP29,1.7567233049288905e-24,CFAP126,5.530034953728643e-16,MT1G,1.420644614696922e-27,ADD3,6.06713130875207e-25,GLRX,0.005976382524708004,C15orf48,8.933961288224593e-09,COL4A1,1.3606511092876546e-24,HES1,3.5088292623469054e-07,FBXO25,7.284825248618471e-23,EIF2S2,1.0495718141679073e-10,STEAP4,5.367690879425099e-06,ATP6V1F,7.312586278052559e-09,SAT1,1.7743811965591842e-07,CALR,2.290598874341154e-08,NDUFV2,8.904726932202987e-07,CAVIN2,0.0017472762717441054,RPL34,8.368174156747888e-05,CLDN5,0.0013659225048638787,ACTG1,0.00040600895914421524,PART1,1.3488639619951357e-07,CTSH,3.3953849103464336e-08,IDI1,3.490777548893434e-06,AL589182.1,7.848633627208947e-09,POU2F2,0.0040506638760711795,RPS27A,0.14212388678424823,ARHGEF38,0.0002829135401309511,SPARCL1,0.0007922349366821546,SNHG9,4.067317723646667e-05,C5AR1,0.00037614670399065386,RACK1,9.3841965904944e-07,LGALS3,0.00015456254439632513
108,IFI16,0.0,RAC2,0.0,REL,0.0,PTPN22,0.0,ITGB8,0.0,ATP2C1,0.0,TBX3,0.0,NCOA4,0.0,MGP,0.0,VIM,0.0,ECRG4,0.0,MEF2C,0.0,GJA1,7.626366062283797e-07,CRYBG1,6.634226363400774e-109,SKAP1,2.4785388107562033e-122,RPL11,1.483752931890814e-195,TCEAL4,0.0,CAPG,1.3156333821383153e-230,AOAH,3.760306398317223e-89,LINC01943,3.1640746728054926e-140,SLC44A4,2.4075906707139963e-121,GBP5,2.3567571138818764e-106,AKNA,4.555030263045511e-06,VMP1,2.8024501653690654e-126,HSPA5,0.4055754869008721,IGHA1,1.701760131312683e-100,TNFAIP8,5.207675312617665e-14,ANXA3,1.5709642180836737e-10,GPR183,7.306704939959163e-10,TIPARP,1.8325526555681752e-113,PODXL,9.154645612379075e-09,AC092069.1,1.9111859677059456e-32,CSF1R,1.8114396735257387e-13,TBX3,2.2736816877949225e-33,RALGPS2,1.488277115234021e-31,BID,2.6283449058891646e-17,LPCAT3,1.9019565686018784e-68,MBP,2.6307318226420654e-24,TMEM258,3.775092835350988e-24,ALDH1A3,5.921649539604522e-16,TMEM256,1.5930376470175607e-27,SLC24A1,1.1561861379715277e-24,IGKV3-20,0.006787218019149763,TNFAIP2,1.0878247423411037e-08,IGFBP7,1.4594314526504832e-24,DNAJC18,4.3813067660315536e-07,PPDPF,7.688248100066162e-23,GDF15,1.2003244696452206e-10,EIF4A3,5.567665306289816e-06,PRDX1,7.73032621288284e-09,SEC61B,1.8489707040480372e-07,FOLH1,2.361551496248409e-08,CFLAR,1.089262030442934e-06,MYL12A,0.0018155564466305232,EMP1,0.00010390094670103663,PLCG2,0.0014518663164204688,ATP5MF,0.00042875239997045976,RAMP1,1.4038623160028184e-07,CTSL,4.092895158698765e-08,CKB,3.4952376615044176e-06,FOXP1,1.2605386742517029e-08,ETS2,0.004110884569893217,PPP1R14A,0.14453181530771628,COX7C,0.00028872250039879314,MIR205HG,0.0007940872445104455,SLC4A4,4.1616077313767594e-05,HSPB1,0.0004115845068052832,RPL4,1.05593349513127e-06,ATP6V0C,0.00016449102277974712
109,NDRG1,0.0,EEF1B2,0.0,KLRD1,0.0,GZMA,0.0,RPS6,0.0,SMCO4,0.0,DEFB1,0.0,H2AFY,0.0,KRT17,0.0,RRAD,0.0,ARPC1A,0.0,ICAM2,0.0,ABCG2,8.171111307904944e-07,FYN,9.13491638886397e-109,TSPYL2,3.25354766760067e-122,S100A6,2.6588570149428532e-192,GAS6,0.0,TGFBI,1.3288373302211457e-230,SH2D1A,4.076434549650878e-89,PHTF2,1.0610328701051285e-138,TSTD1,4.534365140138464e-121,DOK2,8.133752857450061e-104,PDE3B,4.784086822047929e-06,BMPR1B,1.2815615591104838e-124,AC092069.1,0.4201526121245296,IFT57,3.9824742352128957e-100,IL18,5.380692640588603e-14,LINC00844,1.9633093116544283e-10,VEGFA,1.905491120420151e-09,SINHCAF,1.7644377246830063e-112,BAZ2B,1.0525434512234641e-08,RPL31,2.906519219666817e-32,RPL21,1.977027063806688e-13,PRLR,2.492260788239129e-33,MAP1B,3.228093411941213e-31,RAB32,3.1807064348672727e-17,SPINK1,2.1345468512225798e-68,PDE3B,1.6587469663278303e-23,ENTPD5,4.512492689992903e-24,GOLGB1,6.186204421186221e-16,DDT,2.1034615958676797e-27,GIMAP4,1.1636688086300406e-24,FBXW7,0.006802777001736028,ACTB,1.2304346903110661e-08,TGFB1I1,1.523424528366303e-24,TSTD1,4.828531118487787e-07,MT-ND4,9.943643486923964e-23,DHRS7,1.2966665137515923e-10,RPLP0,5.688699018722446e-06,LYZ,9.103165983382278e-09,GBP1,1.9242970115201476e-07,SMS,3.312145907506844e-08,SPINT1,1.1499954049350173e-06,HIST1H4C,0.0020034125922275842,MTRNR2L12,0.00010772939161413401,SELENOM,0.0015318557905331205,JTB,0.00045476361358833347,ALCAM,1.4298165370482929e-07,PLD3,4.683353648590528e-08,ACTA2,3.5913564795800183e-06,IL1B,1.377628296049928e-08,LMNA,0.0049110971340484404,RPS23,0.15214290616693918,TGIF1,0.00030228423716441126,RSRC2,0.0008119172791891888,CAMKK2,4.214763744067316e-05,CD74,0.000423474027736634,CCL18,1.267389528370453e-06,BLVRB,0.00016594028119339534
110,SELP,0.0,RPL36,0.0,BCAS2,0.0,PRF1,0.0,SELENOP,0.0,C19orf48,0.0,EGFR,0.0,PAK1,0.0,STEAP2,0.0,DBNDD2,0.0,COX4I2,0.0,CCDC85B,0.0,VWF,1.6385876326494177e-06,TSPYL2,5.0951374242766997e-107,ITGA4,2.212023338818038e-119,NFE2L2,8.239077664211276e-192,LGALS3,0.0,GPNMB,1.3969588342630266e-229,SLA,4.7502821664753294e-89,CDV3,1.0163868752057916e-137,ZNF217,7.664757391698766e-121,LIMD2,2.1922223946745486e-103,ANKRD36,4.983843995786713e-06,SLC4A4,8.356544762204762e-124,MT1G,0.4329254136625508,SNX2,3.02693512127107e-99,MSR1,8.224577853213571e-14,CHCHD2,3.3701618992517373e-10,MS4A7,5.160816158775614e-09,CSRP1,9.760572052656314e-111,USP34,1.0642193285338835e-08,USP54,5.291309461613231e-32,RPL28,3.495169479897295e-13,TMED10,4.5615613756167774e-33,MAP4,7.93491127142542e-31,MPEG1,3.720673491777026e-17,AZGP1,5.602084600194498e-68,CD48,1.8334186691814172e-23,PLPP5,4.9761730212385054e-24,IQCG,6.5012117399894595e-16,GPX4,2.4004888225490326e-27,NXN,1.5491701543934488e-24,MINOS1,0.0074218029007105035,TM4SF1,1.3687034745254841e-08,TNS2,2.2677411834899536e-24,PPP1CB,5.697717596660384e-07,COPRS,1.089468447865217e-22,SHTN1,1.3801210290312857e-10,MTRNR2L8,5.766450088648039e-06,ASAH1,9.739132915276391e-09,RBP1,2.7584005287779733e-07,SERF2,4.5551341928365496e-08,HLA-DQB1,1.2891076149880156e-06,PRDX1,0.002019042894441113,CDH1,0.0001240353707787095,MMP2,0.0016410149274525157,STARD10,0.0004826410770758674,AMACR,1.5171409008898524e-07,CCL4,5.000375071504139e-08,PDIA3,4.464838921332696e-06,UQCR10,1.3833530658926849e-08,IFI16,0.004925150183805408,PDE1A,0.16711541566107513,DHRS7,0.0003051788228429694,F3,0.0008251404151929958,PART1,4.587644297391594e-05,TRPM4,0.0004748490595781517,CCL3L1,1.2897413057342873e-06,CALD1,0.00016638861806976443
111,APOLD1,0.0,PTGER4,0.0,CTSW,0.0,PIP4K2A,0.0,SLC3A2,0.0,PDIA4,0.0,LIMA1,0.0,SOD2,0.0,SNHG25,0.0,CAV1,0.0,CEBPD,0.0,ITGA6,0.0,DSP,2.340558998504033e-06,BATF,2.5765864451583808e-105,FYN,3.290625134700463e-119,ARHGEF6,1.1513722788530479e-189,CPED1,0.0,PHACTR1,9.937486038222796e-228,ALOX5AP,1.0285705700207856e-87,HCST,1.1947411194174178e-137,NUDT4,1.0146516983626556e-119,MATK,5.239744925678513e-103,KLRD1,7.109675391755913e-06,PPIB,3.395146106633032e-123,CNN1,0.43567445700621155,PRKCB,4.3375266693821e-99,C15orf48,1.3152395534085262e-13,PRDX6,3.7763997075103287e-10,NFKBIZ,5.190430856136291e-09,NFE2L2,8.005767363712167e-110,SLC38A2,1.2105229015189038e-08,P4HB,9.948018166098319e-32,EEF1B2,5.285716114840419e-13,RNASE1,2.3474490988220715e-32,PGRMC1,1.0984210107650898e-30,NABP1,4.252527494860132e-17,TMEM238,9.218241841387413e-68,AKNA,6.812344275162146e-23,TM7SF2,5.469093477930537e-24,FOXJ1,7.316192630089465e-16,PNKP,2.8925043473737903e-27,AFAP1L1,1.7954119175128e-24,FUT8,0.007857193708065157,ATP5F1E,1.3767129293053527e-08,CCDC85B,2.470680300663672e-24,SLC45A3,6.398569357989338e-07,LRRC26,1.0896057007761333e-22,TALDO1,2.683203420865594e-10,BCL2A1,6.617369152430404e-06,G0S2,1.7932098306926928e-08,MT1G,3.900063114958446e-07,PLA2G2A,4.799631314517437e-08,WNT6,1.988551915344164e-06,EIF4A3,0.00215092190014557,PNRC1,0.00012699543053007624,ADH1B,0.0018080393449397749,PLPP1,0.0005004517769606527,C2CD4B,1.9412730344292175e-07,ABHD2,5.979127829239246e-08,ADI1,5.061709327187471e-06,KLK4,1.3975805813525655e-08,H3F3A,0.0049663904626207405,FHL5,0.16905958917171804,RPS27,0.0003223359384503444,CD9,0.0008339587201600246,THBS1,5.766273463347234e-05,FGFBP1,0.0005400650820179899,RPS15,1.4207472554957512e-06,ABHD2,0.0001804240637817136
112,COL4A1,0.0,EEF1D,0.0,CDC42SE2,0.0,AC243960.1,0.0,RACK1,0.0,RBM47,0.0,TFCP2L1,0.0,THEMIS2,0.0,EIF5A,0.0,CLMN,0.0,PDLIM3,0.0,EHD4,0.0,ATP6V0A4,3.045571998863954e-06,DEDD2,1.262632085671757e-102,PPP1R2,5.016162523067547e-119,CTTNBP2,2.286765231113439e-189,IGFBP4,0.0,CEBPB,2.864947378060464e-226,PIK3IP1,9.537639106017189e-86,GNG2,1.3661678279696865e-137,AC117453.1,1.0109397273161206e-118,RPS15A,5.756029152493164e-103,AC007384.1,1.2797502562151179e-05,TNFSF10,1.5544973739018327e-122,HNRNPH1,0.4401573875939465,PMAIP1,4.855935326435509e-99,CCL2,2.893535192799559e-13,MARCKSL1,3.8352735061374847e-10,C15orf48,6.566126148243881e-09,MARCKS,7.78459020427949e-109,JMJD1C,1.2644307142852303e-08,FAM3B,1.279721771737723e-31,CAPG,1.4295308364903422e-12,PLA2G4A,2.900574147655437e-32,SELENOP,2.246760462071423e-30,ARPC3,5.3933417954538896e-17,MRPS23,9.93464857528079e-68,ARPC2,1.6457111414424547e-22,KRT18,6.708402761177893e-24,HYDIN,8.011630756622329e-16,MICOS10,3.659609308762653e-27,PPP1R2,1.864091808432668e-24,PDIA6,0.008321162684167016,MARCKS,1.3806095119996403e-08,MGLL,3.0263877354096348e-24,TMSB4X,6.511432191605291e-07,KRT18,1.261350906974452e-22,TMEFF2,2.87556735382034e-10,SAMSN1,7.138235535113092e-06,BCAP31,1.8233110291460706e-08,TMEM258,4.080642518352785e-07,C5AR1,4.981639340316207e-08,SCUBE2,2.0524243131685765e-06,TIMP3,0.0022664321675661663,MT-ND5,0.00013286227822491498,NNMT,0.0018116479029392908,GNMT,0.0006500283248213782,UBL5,1.966614077635439e-07,ATP5F1E,6.861526178379772e-08,MIF,5.19367749953739e-06,TMEM258,1.7309884977756184e-08,GSN,0.004986214327628132,DNAJB4,0.1727230938493598,CYB5A,0.0003893352796879927,DDX5,0.0008530959775948922,GLUD1,5.957598402244176e-05,ZFAND2A,0.000541762729073392,NARF,1.437021417733734e-06,GNMT,0.00022722665263469577
113,CCDC85B,0.0,CD96,0.0,STIP1,0.0,CYTOR,0.0,NPM1,0.0,MPC2,0.0,SPINT1,0.0,PPT1,0.0,RPL37A,0.0,NRP1,0.0,PHLDA2,0.0,LEPR,0.0,FOSB,3.1099984778866383e-06,SMAP2,4.3518884408357886e-101,RNF213,1.561730473881013e-118,LPCAT2,1.2317375668983382e-188,SOD3,0.0,HLA-DQA1,7.086167393799194e-226,ID2,7.368117906593361e-85,CORO1B,1.9697438031534694e-137,MON1B,8.454447380531873e-118,LSP1,7.25227369449037e-101,ANKRD36C,1.383765818033408e-05,ANKRD37,7.208520764109753e-121,CD52,0.44370032740880083,AFF3,4.876853559179459e-99,VEGFA,3.0835235985455593e-13,UQCR10,5.374551311681196e-10,EIF1,6.8878887775862115e-09,CCL2,1.9224323307736838e-107,HSPG2,1.5703436500642263e-08,TUSC3,1.8009519568157113e-31,MRC1,2.71541207018741e-12,SLCO2A1,4.1762682900843173e-32,COL14A1,6.2121254705395555e-30,VIM,5.786886517906935e-17,SELENBP1,1.5899654058264143e-67,PRRC2C,1.7504551359065664e-22,SYNGR2,8.001403172096971e-24,KLF5,8.076866811130404e-16,CALR,3.961506532796427e-27,MGST2,2.2782461426346767e-24,CCR10,0.009525528013262284,PNP,1.4516655492781666e-08,MINOS1,3.2830888273639218e-24,CYB5A,7.007490500247718e-07,CPE,1.27972827071948e-22,CALM3,3.847219037597922e-10,HLA-DRB1,8.891873764954408e-06,TALDO1,2.0931918865742435e-08,ZFAND2A,4.4306789315843014e-07,HERPUD1,6.817889018732902e-08,HSPB1,2.199679503175189e-06,MT-CO1,0.0022792624293321378,EIF1AX,0.00013445982543351475,RPS29,0.0018457814883756122,SCGN,0.000662111258724293,HEBP2,2.4603912127644264e-07,FUCA1,7.020957904431372e-08,ARG2,5.408920670658094e-06,SEC61B,1.790665565983909e-08,KLK2,0.005011916492133493,JUNB,0.17762802881181106,PPIA,0.0004243269665939218,LMO7,0.0008546497134751631,MCCC2,6.728021641714461e-05,ANXA2,0.0005557789798464616,PEBP1,1.5589972386828025e-06,AP2S1,0.0002317975945342809
114,CAV1,0.0,RPS3A,0.0,IFNG,0.0,PAXX,0.0,BEX2,0.0,PCBD1,0.0,PRSS22,0.0,SMAP2,0.0,RPL37,0.0,TPPP3,0.0,MRVI1,0.0,PDGFD,0.0,TRIM29,4.56802680971392e-06,IFI44,1.2896499835616865e-100,PIP4K2A,5.702208802176075e-113,UBB,2.735101396613868e-187,MRC2,0.0,TLR2,1.1855365436426036e-225,PDCD4,1.528740929033479e-84,DOK2,2.883934066627746e-137,SLC39A6,4.412333809454137e-115,S1PR4,1.3982562506808297e-98,ETS1,3.239758981136621e-05,SPINT2,1.1798522708587208e-120,ALKAL2,0.44904515611236007,PRDM2,9.299805077536189e-99,CD14,6.525514103097361e-13,RPL9,6.465237295665547e-10,PLN,7.05380425280118e-09,GPR87,7.291819544730997e-107,EGR3,1.8567309302446368e-08,STC1,1.8871270883007075e-31,FGL2,4.778089959890414e-12,RBBP7,8.3509793404985e-32,EGFL8,1.182146589791187e-29,FTL,6.959620214099276e-17,PRR15L,2.9050093687076845e-67,CD53,2.271898500331212e-22,PTMS,1.6187664300747525e-23,PTPRF,1.0512092622462494e-15,MYDGF,4.361779596563313e-27,CCL14,2.5215612653680377e-24,SDC1,0.009972732361062817,IGFBP7,1.5192690753203944e-08,ROBO4,3.313647385810396e-24,STC1,7.657011565480681e-07,MLPH,1.307299132021647e-22,TPM3,4.182865820185613e-10,MXD1,9.117193671519125e-06,SOD2,2.1796400212594778e-08,CD74,4.512358756264776e-07,CLU,8.136581495791983e-08,AAK1,2.250223858703109e-06,HSP90AA1,0.002288493337854768,CSRP1,0.00014405290529621203,NDUFA4,0.001918639986309412,HSPA1B,0.0006698405087903268,SAT1,6.454760061689977e-07,LRRC26,8.211550067823776e-08,SLC39A6,5.5527750691226035e-06,LRRC26,2.6490888756303204e-08,S100A11,0.005216334541308404,MFAP4,0.17874960643316795,RPS25,0.0004271406870989107,CLDN7,0.0008560238103809108,NECTIN3,6.942166003400893e-05,KRT18,0.0005871837257362989,ATP5MD,1.6339372649727646e-06,BRI3,0.00023291112705466514
115,SASH1,0.0,CRIP1,0.0,HSPA1A,0.0,JAML,0.0,VCL,0.0,GPR160,0.0,SELENOP,0.0,ARRB2,0.0,NDUFB1,0.0,ADAMTS1,0.0,EHD2,0.0,HYAL2,0.0,AGR2,5.400344938424288e-06,LINC01871,2.719630434961566e-100,RPL41,1.3359130982303673e-110,RAB27B,3.588096488065582e-185,CD302,0.0,FPR1,4.866836335029769e-224,KRT81,2.2407298525192576e-83,SIRPG,5.152278677495159e-137,IFI6,5.284176043630305e-115,TRBC2,1.4484218811440497e-96,AC243960.1,3.498919723220812e-05,AMD1,4.955107113261209e-117,DES,0.4641044421137194,SELL,1.7072839078538828e-97,COTL1,1.6694424352566955e-12,RPS11,1.250335050473115e-09,PLCG2,7.060458690520383e-09,VMP1,3.5909602680240134e-106,PECAM1,2.1455195507191406e-08,PRSS23,3.213738967828973e-31,H3F3A,5.057499570404753e-12,SMIM22,2.4693136950575788e-31,FTH1,1.308134463240121e-29,TNFAIP8,7.393579811804616e-17,HIST1H2BC,3.3898555129979635e-67,RGCC,4.453862343018411e-22,AC092069.1,1.719374808851162e-23,UFC1,1.644228459473614e-15,ERP29,6.813152607404586e-27,CDH5,2.5747597680539415e-24,SEPT2,0.010087891282430424,SH3BGRL3,1.550513315111821e-08,SEPT9,3.845694952436236e-24,IGFBP7,8.433673115735765e-07,SYCE1L,1.3242978390247017e-22,NTAN1,4.662602768751433e-10,CD74,9.184352230730697e-06,PTPN2,2.331544653059539e-08,KRT18,5.081247715579696e-07,VEGFA,1.006133879660878e-07,MYO6,2.5642255923199112e-06,IGFBP5,0.0023909110086736077,NFATC1,0.0001463910846329726,SELENOK,0.001993759437613265,PDIA3,0.0007576980748781533,PRSS23,6.750235234532413e-07,TSPO,1.0615584151860044e-07,CCDC186,6.15216682786905e-06,SEC61G,2.705566329646918e-08,CD59,0.005315696445346343,ZFP36L1,0.1803411204833063,S100A11,0.0004280319575272215,ARG2,0.000906964824683911,C15orf48,7.01369965900012e-05,VEGFA,0.0005875573404685338,TM7SF2,1.725877108751807e-06,WFDC1,0.0002526381970743297
116,PDLIM1,0.0,CLEC2D,0.0,GZMA,0.0,CD247,0.0,ELF3,0.0,CANX,0.0,DMKN,0.0,ADAP2,0.0,RPS15,0.0,F10,0.0,MTHFD2,0.0,ITM2B,0.0,EPCAM,6.1883526533397136e-06,DOK2,9.541041928371843e-100,CD96,2.041378709802411e-107,PEBP1,6.627923708544865e-183,NFIA,0.0,C1orf162,8.72045517432332e-222,RPS27A,3.1602317687878563e-83,ACAP1,7.042551957748616e-137,YWHAE,3.061298079817089e-114,GPSM3,2.8646466365639483e-95,TTN,3.681135793579714e-05,GGCT,1.755928902981009e-116,DNAJB6,0.46610764279654116,LGALS1,3.521840111690485e-97,CSF1R,1.8023479551391852e-12,SLC45A3,1.3267031860486061e-09,HLA-DQB1,7.401715916755242e-09,PPFIBP1,5.764934095441653e-106,RPGR,3.682826417183131e-08,MARCKS,4.952104598331052e-31,GAPDH,5.69746380793908e-12,LMAN1,2.704779580918052e-31,MT1E,1.6572110813836612e-29,CLIC2,1.0577696530203322e-16,SHISA6,4.495539265593855e-67,NSD3,4.4801843876705485e-22,BCAP29,1.96940644428077e-23,DNAH6,2.0230345545475765e-15,AMACR,6.895170896451994e-27,HOMER3,3.561248102083213e-24,DCPS,0.010325999681753772,TNFAIP3,1.7059255113511086e-08,TGM2,4.622998425387922e-24,FOS,8.884544471496366e-07,MT-CYB,1.3373899170686503e-22,DAB2,5.035120609622947e-10,RPS28,9.390388572776726e-06,RNASEK,2.3548019232249522e-08,NCOA7,5.512947613708867e-07,SDCBP,1.1806914187848057e-07,PDLIM3,2.6918919183817198e-06,PDLIM3,0.002424852886363578,EHF,0.00014928067687200396,CCL5,0.0020865084017986342,ATAD3C,0.0007829471535216573,SSR4,7.133643866525204e-07,LAP3,1.1000660351437208e-07,TRIB1,6.162623163645954e-06,NUDT4,2.770924373943711e-08,AHNAK,0.005503155421254405,RPL24,0.18181767581324748,RPL37A,0.000456341473824667,GMNN,0.0009200742647601127,TUSC3,7.121745411425848e-05,TMEM123,0.0006113523126630417,EEF1G,1.8160160748039492e-06,EMP3,0.0002529112740253394
117,CDH5,0.0,STK17A,0.0,GPR65,0.0,SLA,0.0,IER3,0.0,TMED2,0.0,PITX1,0.0,LGALS9,0.0,TXN,0.0,FRZB,0.0,IGFBP5,0.0,ITGB1,0.0,KRT13,7.4216971205055315e-06,CORO1A,1.8457715412478913e-99,GBP5,4.793897871743349e-107,GCSAML,2.279759079022811e-182,FSTL1,0.0,ACSL1,8.78337776952992e-222,OXNAD1,3.50682201608789e-81,VAV3,7.538894566372885e-136,EHF,2.9398678432963806e-111,SMAP2,4.579813535837731e-95,PRRC2C,4.8368338221306466e-05,RPS17,1.707642956486792e-114,COL14A1,0.5028130971498166,BCL2,4.4542623481242543e-97,MAFB,3.168218154291193e-12,GTF3C6,1.40608711515294e-09,KLF2,1.026947271162337e-08,NDFIP2,8.810342228776045e-106,SLCO2A1,4.774879767947325e-08,KLK4,7.921053256100145e-31,VSIG4,5.71270575316005e-12,NDFIP1,3.598049966371466e-31,PDK4,1.8990247215527287e-29,PDE4B,1.2592017638773405e-16,CYB5A,6.196853575581075e-67,ZBTB1,4.736455540245231e-22,SEC61G,2.5089992982043875e-23,PSENEN,2.0483996068652273e-15,CYB5A,8.636983417697351e-27,CD99,3.634582268711008e-24,ADA2,0.010429438197284273,PPA1,1.8509550230238994e-08,LIMS2,4.848814855001143e-24,C11orf96,9.286852020765135e-07,FAM3B,1.5388585981478366e-22,OR51E2,5.370099010274793e-10,HELB,9.610066840353896e-06,UQCRQ,2.372845200183521e-08,TFRC,5.828404667970599e-07,RGS2,1.431141530585944e-07,CST3,3.61602458101707e-06,UGP2,0.0025708151058172228,S100A8,0.00015612946339067267,ACTG1,0.0023195522605204567,HSPA5,0.0007923195675650999,NSUN6,7.155705124256105e-07,ATOX1,1.1111136311455017e-07,GADD45B,7.253954200316762e-06,CENPX,2.8341958781361758e-08,GNB4,0.00552315197643135,DMD,0.18684039543836506,TRGC1,0.0004789529004666472,TRA2A,0.0009290065219028225,GLUL,8.216648935642853e-05,TCEA3,0.0006284395887654721,DCXR,1.82112175591586e-06,LRRC75A,0.00025678160689172647
118,TGFBR3,0.0,RORA,0.0,GZMM,0.0,RPS12,0.0,CALD1,0.0,CD24,0.0,SOX9,0.0,TLR2,0.0,UQCR10,0.0,CD81,0.0,PTP4A3,0.0,KDR,0.0,EMCN,9.407872436337957e-06,MYADM,7.329769033090813e-95,CD27,8.410095333921443e-107,DUSP6,6.008018264036469e-180,SPARC,0.0,TMEM176A,8.386943300020241e-219,ARHGAP9,3.614050896297107e-81,EVI2B,1.6671778715864517e-135,RPL37A,8.334065358678171e-111,TUBA4A,1.259405349827258e-94,HSPE1,6.747009171563853e-05,ALCAM,1.3004277930164894e-113,PCAT4,0.5195365071830504,LIMD2,1.0789652608789047e-95,PHACTR1,6.3209827979311865e-12,ALOX15B,1.7237497136558588e-09,CRISPLD2,1.3469565081336798e-08,ARHGAP5,1.3129301934622297e-105,CALCRL,5.2021060411619643e-08,RPL36,1.201676680586673e-30,RPL11,6.236187830780209e-12,MYDGF,3.9780322539474e-31,EID1,2.4236026015467951e-29,DUSP4,1.4711607674284704e-16,NKX3-1,6.262580772060136e-67,ZNF331,5.123129507676891e-22,RPL37A,3.522420239656985e-23,ACLY,2.066688738992964e-15,TSTD1,9.179766442537985e-27,APLP2,5.2236461945630906e-24,IRF4,0.010607059743739626,ZFAND5,2.0930609607190428e-08,APP,5.273066768675071e-24,SPRY1,9.745347759186566e-07,TPD52,1.6137231062568286e-22,NDUFA1,5.749462181884813e-10,ATP5F1E,1.0388791099906913e-05,RHOB,2.395435751015293e-08,SPINT2,9.719822012255959e-07,CA2,1.500319131268501e-07,LIMCH1,3.946149684705167e-06,SPRY1,0.0025928105767159143,MIR22HG,0.000158179640469351,RPL41,0.002392521733875786,MICOS10,0.0008004534156396888,KIF13B,8.243993954980861e-07,OLR1,1.2638241107434465e-07,PDLIM3,7.6866514062684e-06,PET100,3.058563912226167e-08,ARL4C,0.006425325716286544,RPL38,0.18944124298817544,MYL12A,0.0004891382015675029,COX4I1,0.001002297829506726,CST3,8.417610211266395e-05,LINC01297,0.0006894719563741444,UQCRQ,1.8878562076504989e-06,SEC62,0.000261601062199806
